sample_id,site_id,site_name,city_cn,issue_date,target_date,target_refined_date_type,hour,actual_load,predicted_load
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,9,,0.6856033759903244
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,10,,0.35041958266224715
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,11,,0.403568335774823
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,12,,1.365447186618367
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,13,,1.079845268514462
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,14,,0.4563300083362391
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,15,,0.4375476240830126
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,16,,0.4361313362833479
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,17,,0.43492342226473135
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,18,,0.4359450862247176
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,19,,0.9910634332596033
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,20,,1.087280440408445
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,21,,0.8288359470183811
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,22,,0.6143610418337607
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,23,,0.5848857534589436
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,0,,1.8014117655047388
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,1,,1.1227596698438151
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,2,,0.9775593922417952
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,3,,0.8137427606774821
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,4,,0.6791060908561941
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,5,,0.7771140048041526
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,6,,1.2393214444830976
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,7,,1.2825460942133389
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,8,,0.7488691446724017
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,9,,0.7204801459205383
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,10,,0.352824733050754
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,11,,0.40855827292235175
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,12,,1.3519830031947078
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,13,,1.1279914309647212
all_equivalent5_ext_20260313,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-07,2026-03-13,workday_w4,14,,0.47397217534070246
